SystemSize,SystemSizeID,SystemType,SystemTypeID,SolarPanel,SolarPanelID,Inverter,InverterID,Battery ,BatteryID,BatteryCost,NoOfBatteries ,BatteryTotalCost,InvetrerCost,NoOfInveters ,PanelCost,NoOfPanels,TotalInveterCost,TotalPanelCost,TotalSystemCost
20kW,10,On Grid,1,Canadian Solar Canada,3,Growatt China,4,No battery ,1,0,0,0,630000,2,54000,40,1260000,2160000,3420000
30kW,11,On Grid,1,Canadian Solar Canada,3,Growatt China,4,No battery ,1,0,0,0,630000,3,54000,60,1890000,3240000,5130000
40kW,12,On Grid,1,Canadian Solar Canada,3,Growatt China,4,No battery ,1,0,0,0,630000,4,54000,80,2520000,4320000,6840000
50kW,13,On Grid,1,Canadian Solar Canada,3,Growatt China,4,No battery ,1,0,0,0,630000,5,54000,100,3150000,5400000,8550000
60kW,14,On Grid,1,Canadian Solar Canada,3,Growatt China,4,No battery ,1,0,0,0,630000,6,54000,120,3780000,6480000,10260000
1kW,1,On Grid,1,Panasonic Japan,4,Goodwee China,1,No battery ,1,0,0,0,74000,1,62000,2,74000,124000,198000
2kW,2,On Grid,1,Panasonic Japan,4,Goodwee China,1,No battery ,1,0,0,0,110000,1,62000,4,110000,248000,358000
3.5kW,3,On Grid,1,Panasonic Japan,4,Goodwee China,1,No battery ,1,0,0,0,210000,1,62000,7,210000,434000,644000
4kW,4,On Grid,1,Panasonic Japan,4,Goodwee China,1,No battery ,1,0,0,0,300000,1,62000,8,300000,496000,796000
5kW,5,On Grid,1,Panasonic Japan,4,Goodwee China,1,No battery ,1,0,0,0,410000,1,62000,10,410000,620000,1030000
7.5kW,6,On Grid,1,Panasonic Japan,4,Goodwee China,1,No battery ,1,0,0,0,520000,1,62000,17,520000,1054000,1574000
8kW,7,On Grid,1,Panasonic Japan,4,Goodwee China,1,No battery ,1,0,0,0,560000,1,62000,18,560000,1116000,1676000
10kW,8,On Grid,1,Panasonic Japan,4,Goodwee China,1,No battery ,1,0,0,0,620000,1,62000,20,620000,1240000,1860000
15kW,9,On Grid,1,Panasonic Japan,4,Goodwee China,1,No battery ,1,0,0,0,520000,2,62000,30,1040000,1860000,2900000
20kW,10,On Grid,1,Panasonic Japan,4,Goodwee China,1,No battery ,1,0,0,0,620000,2,62000,40,1240000,2480000,3720000
30kW,11,On Grid,1,Panasonic Japan,4,Goodwee China,1,No battery ,1,0,0,0,620000,3,62000,60,1860000,3720000,5580000
40kW,12,On Grid,1,Panasonic Japan,4,Goodwee China,1,No battery ,1,0,0,0,620000,4,62000,80,2480000,4960000,7440000
50kW,13,On Grid,1,Panasonic Japan,4,Goodwee China,1,No battery ,1,0,0,0,620000,5,62000,100,3100000,6200000,9300000
60kW,14,On Grid,1,Panasonic Japan,4,Goodwee China,1,No battery ,1,0,0,0,620000,6,62000,120,3720000,7440000,11160000
1kW,1,On Grid,1,Panasonic Japan,4,SMA Germany ,2,No battery ,1,0,0,0,94000,1,62000,2,94000,124000,218000
2kW,2,On Grid,1,Panasonic Japan,4,SMA Germany ,2,No battery ,1,0,0,0,140000,1,62000,4,140000,248000,388000
3.5kW,3,On Grid,1,Panasonic Japan,4,SMA Germany ,2,No battery ,1,0,0,0,260000,1,62000,7,260000,434000,694000
4kW,4,On Grid,1,Panasonic Japan,4,SMA Germany ,2,No battery ,1,0,0,0,370000,1,62000,8,370000,496000,866000
5kW,5,On Grid,1,Panasonic Japan,4,SMA Germany ,2,No battery ,1,0,0,0,490000,1,62000,10,490000,620000,1110000
7.5kW,6,On Grid,1,Panasonic Japan,4,SMA Germany ,2,No battery ,1,0,0,0,580000,1,62000,17,580000,1054000,1634000
8kW,7,On Grid,1,Panasonic Japan,4,SMA Germany ,2,No battery ,1,0,0,0,650000,1,62000,18,650000,1116000,1766000
10kW,8,On Grid,1,Panasonic Japan,4,SMA Germany ,2,No battery ,1,0,0,0,780000,1,62000,20,780000,1240000,2020000
15kW,9,On Grid,1,Panasonic Japan,4,SMA Germany ,2,No battery ,1,0,0,0,580000,2,62000,30,1160000,1860000,3020000
20kW,10,On Grid,1,Panasonic Japan,4,SMA Germany ,2,No battery ,1,0,0,0,780000,2,62000,40,1560000,2480000,4040000
30kW,11,On Grid,1,Panasonic Japan,4,SMA Germany ,2,No battery ,1,0,0,0,780000,3,62000,60,2340000,3720000,6060000
40kW,12,On Grid,1,Panasonic Japan,4,SMA Germany ,2,No battery ,1,0,0,0,780000,4,62000,80,3120000,4960000,8080000
50kW,13,On Grid,1,Panasonic Japan,4,SMA Germany ,2,No battery ,1,0,0,0,780000,5,62000,100,3900000,6200000,10100000
60kW,14,On Grid,1,Panasonic Japan,4,SMA Germany ,2,No battery ,1,0,0,0,780000,6,62000,120,4680000,7440000,12120000
1kW,1,On Grid,1,Panasonic Japan,4,CanadainSolar Canada,3,No battery ,1,0,0,0,91000,1,62000,2,91000,124000,215000
2kW,2,On Grid,1,Panasonic Japan,4,CanadainSolar Canada,3,No battery ,1,0,0,0,130000,1,62000,4,130000,248000,378000
3.5kW,3,On Grid,1,Panasonic Japan,4,CanadainSolar Canada,3,No battery ,1,0,0,0,220000,1,62000,7,220000,434000,654000
4kW,4,On Grid,1,Panasonic Japan,4,CanadainSolar Canada,3,No battery ,1,0,0,0,310000,1,62000,8,310000,496000,806000
5kW,5,On Grid,1,Panasonic Japan,4,CanadainSolar Canada,3,No battery ,1,0,0,0,410000,1,62000,10,410000,620000,1030000
7.5kW,6,On Grid,1,Panasonic Japan,4,CanadainSolar Canada,3,No battery ,1,0,0,0,540000,1,62000,17,540000,1054000,1594000
8kW,7,On Grid,1,Panasonic Japan,4,CanadainSolar Canada,3,No battery ,1,0,0,0,640000,1,62000,18,640000,1116000,1756000
10kW,8,On Grid,1,Panasonic Japan,4,CanadainSolar Canada,3,No battery ,1,0,0,0,760000,1,62000,20,760000,1240000,2000000
15kW,9,On Grid,1,Panasonic Japan,4,CanadainSolar Canada,3,No battery ,1,0,0,0,540000,2,62000,30,1080000,1860000,2940000
20kW,10,On Grid,1,Panasonic Japan,4,CanadainSolar Canada,3,No battery ,1,0,0,0,760000,2,62000,40,1520000,2480000,4000000
30kW,11,On Grid,1,Panasonic Japan,4,CanadainSolar Canada,3,No battery ,1,0,0,0,760000,3,62000,60,2280000,3720000,6000000
40kW,12,On Grid,1,Panasonic Japan,4,CanadainSolar Canada,3,No battery ,1,0,0,0,760000,4,62000,80,3040000,4960000,8000000
50kW,13,On Grid,1,Panasonic Japan,4,CanadainSolar Canada,3,No battery ,1,0,0,0,760000,5,62000,100,3800000,6200000,10000000
60kW,14,On Grid,1,Panasonic Japan,4,CanadainSolar Canada,3,No battery ,1,0,0,0,760000,6,62000,120,4560000,7440000,12000000
1kW,1,On Grid,1,Panasonic Japan,4,Growatt China,4,No battery ,1,0,0,0,73000,1,62000,2,73000,124000,197000
2kW,2,On Grid,1,Panasonic Japan,4,Growatt China,4,No battery ,1,0,0,0,105000,1,62000,4,105000,248000,353000
3.5kW,3,On Grid,1,Panasonic Japan,4,Growatt China,4,No battery ,1,0,0,0,216000,1,62000,7,216000,434000,650000
4kW,4,On Grid,1,Panasonic Japan,4,Growatt China,4,No battery ,1,0,0,0,340000,1,62000,8,340000,496000,836000
5kW,5,On Grid,1,Panasonic Japan,4,Growatt China,4,No battery ,1,0,0,0,420000,1,62000,10,420000,620000,1040000
7.5kW,6,On Grid,1,Panasonic Japan,4,Growatt China,4,No battery ,1,0,0,0,540000,1,62000,17,540000,1054000,1594000
8kW,7,On Grid,1,Panasonic Japan,4,Growatt China,4,No battery ,1,0,0,0,580000,1,62000,18,580000,1116000,1696000
10kW,8,On Grid,1,Panasonic Japan,4,Growatt China,4,No battery ,1,0,0,0,630000,1,62000,20,630000,1240000,1870000
15kW,9,On Grid,1,Panasonic Japan,4,Growatt China,4,No battery ,1,0,0,0,580000,2,62000,30,1160000,1860000,3020000
20kW,10,On Grid,1,Panasonic Japan,4,Growatt China,4,No battery ,1,0,0,0,630000,2,62000,40,1260000,2480000,3740000
30kW,11,On Grid,1,Panasonic Japan,4,Growatt China,4,No battery ,1,0,0,0,630000,3,62000,60,1890000,3720000,5610000
40kW,12,On Grid,1,Panasonic Japan,4,Growatt China,4,No battery ,1,0,0,0,630000,4,62000,80,2520000,4960000,7480000
