SystemSize,SystemSizeID,SystemType,SystemTypeID,SolarPanel,SolarPanelID,Inverter,InverterID,Battery ,BatteryID,BatteryCost,NoOfBatteries ,BatteryTotalCost,InvetrerCost,NoOfInveters ,PanelCost,NoOfPanels,TotalInveterCost,TotalPanelCost,TotalSystemCost
4kW,4,Off Grid,2,Jinko Solar China,2,CanadainSolar Canada,3,LFP Lithium-ion,2,410000,1,410000,290000,1,46000,4,290000,184000,884000
5kW,5,Off Grid,2,Jinko Solar China,2,CanadainSolar Canada,3,LFP Lithium-ion,2,410000,1,410000,390000,1,46000,5,390000,230000,1030000
7.5kW,6,Off Grid,2,Jinko Solar China,2,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,1,890000,500000,1,46000,7,500000,322000,1712000
8kW,7,Off Grid,2,Jinko Solar China,2,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,1,890000,610000,1,46000,8,610000,368000,1868000
10kW,8,Off Grid,2,Jinko Solar China,2,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,1,890000,710000,1,46000,10,710000,460000,2060000
15kW,9,Off Grid,2,Jinko Solar China,2,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,2,1780000,500000,2,46000,15,1000000,690000,3470000
20kW,10,Off Grid,2,Jinko Solar China,2,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,2,1780000,710000,2,46000,20,1420000,920000,4120000
30kW,11,Off Grid,2,Jinko Solar China,2,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,3,2670000,710000,3,46000,30,2130000,1380000,6180000
40kW,12,Off Grid,2,Jinko Solar China,2,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,4,3560000,710000,4,46000,40,2840000,1840000,8240000
50kW,13,Off Grid,2,Jinko Solar China,2,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,5,4450000,710000,5,46000,50,3550000,2300000,10300000
60kW,14,Off Grid,2,Jinko Solar China,2,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,6,5340000,710000,6,46000,60,4260000,2760000,12360000
1kW,1,Off Grid,2,Jinko Solar China,2,Growatt China,4,LFP Lithium-ion,2,80000,1,80000,66000,1,46000,1,66000,46000,192000
2kW,2,Off Grid,2,Jinko Solar China,2,Growatt China,4,LFP Lithium-ion,2,170000,1,170000,95000,1,46000,2,95000,92000,357000
3.5kW,3,Off Grid,2,Jinko Solar China,2,Growatt China,4,LFP Lithium-ion,2,250000,1,250000,198000,1,46000,4,198000,184000,632000
4kW,4,Off Grid,2,Jinko Solar China,2,Growatt China,4,LFP Lithium-ion,2,410000,1,410000,310000,1,46000,4,310000,184000,904000
5kW,5,Off Grid,2,Jinko Solar China,2,Growatt China,4,LFP Lithium-ion,2,410000,1,410000,390000,1,46000,5,390000,230000,1030000
7.5kW,6,Off Grid,2,Jinko Solar China,2,Growatt China,4,LFP Lithium-ion,2,890000,1,890000,490000,1,46000,7,490000,322000,1702000
8kW,7,Off Grid,2,Jinko Solar China,2,Growatt China,4,LFP Lithium-ion,2,890000,1,890000,520000,1,46000,8,520000,368000,1778000
10kW,8,Off Grid,2,Jinko Solar China,2,Growatt China,4,LFP Lithium-ion,2,890000,1,890000,580000,1,46000,10,580000,460000,1930000
15kW,9,Off Grid,2,Jinko Solar China,2,Growatt China,4,LFP Lithium-ion,2,890000,2,1780000,490000,2,46000,15,980000,690000,3450000
20kW,10,Off Grid,2,Jinko Solar China,2,Growatt China,4,LFP Lithium-ion,2,890000,2,1780000,580000,2,46000,20,1160000,920000,3860000
30kW,11,Off Grid,2,Jinko Solar China,2,Growatt China,4,LFP Lithium-ion,2,890000,3,2670000,580000,3,46000,30,1740000,1380000,5790000
40kW,12,Off Grid,2,Jinko Solar China,2,Growatt China,4,LFP Lithium-ion,2,890000,4,3560000,580000,4,46000,40,2320000,1840000,7720000
50kW,13,Off Grid,2,Jinko Solar China,2,Growatt China,4,LFP Lithium-ion,2,890000,5,4450000,580000,5,46000,50,2900000,2300000,9650000
60kW,14,Off Grid,2,Jinko Solar China,2,Growatt China,4,LFP Lithium-ion,2,890000,6,5340000,580000,6,46000,60,3480000,2760000,11580000
1kW,1,Off Grid,2,Canadian Solar Canada,3,Goodwee China,1,LFP Lithium-ion,2,80000,1,80000,64000,1,54000,1,64000,54000,198000
2kW,2,Off Grid,2,Canadian Solar Canada,3,Goodwee China,1,LFP Lithium-ion,2,170000,1,170000,100000,1,54000,2,100000,108000,378000
3.5kW,3,Off Grid,2,Canadian Solar Canada,3,Goodwee China,1,LFP Lithium-ion,2,250000,1,250000,190000,1,54000,4,190000,216000,656000
4kW,4,Off Grid,2,Canadian Solar Canada,3,Goodwee China,1,LFP Lithium-ion,2,410000,1,410000,280000,1,54000,4,280000,216000,906000
5kW,5,Off Grid,2,Canadian Solar Canada,3,Goodwee China,1,LFP Lithium-ion,2,410000,1,410000,380000,1,54000,5,380000,270000,1060000
7.5kW,6,Off Grid,2,Canadian Solar Canada,3,Goodwee China,1,LFP Lithium-ion,2,890000,1,890000,490000,1,54000,7,490000,378000,1758000
8kW,7,Off Grid,2,Canadian Solar Canada,3,Goodwee China,1,LFP Lithium-ion,2,890000,1,890000,500000,1,54000,8,500000,432000,1822000
10kW,8,Off Grid,2,Canadian Solar Canada,3,Goodwee China,1,LFP Lithium-ion,2,890000,1,890000,580000,1,54000,10,580000,540000,2010000
15kW,9,Off Grid,2,Canadian Solar Canada,3,Goodwee China,1,LFP Lithium-ion,2,890000,2,1780000,580000,2,54000,15,1160000,810000,3750000
20kW,10,Off Grid,2,Canadian Solar Canada,3,Goodwee China,1,LFP Lithium-ion,2,890000,2,1780000,580000,2,54000,20,1160000,1080000,4020000
30kW,11,Off Grid,2,Canadian Solar Canada,3,Goodwee China,1,LFP Lithium-ion,2,890000,3,2670000,580000,3,54000,30,1740000,1620000,6030000
40kW,12,Off Grid,2,Canadian Solar Canada,3,Goodwee China,1,LFP Lithium-ion,2,890000,4,3560000,580000,4,54000,40,2320000,2160000,8040000
50kW,13,Off Grid,2,Canadian Solar Canada,3,Goodwee China,1,LFP Lithium-ion,2,890000,5,4450000,580000,5,54000,50,2900000,2700000,10050000
60kW,14,Off Grid,2,Canadian Solar Canada,3,Goodwee China,1,LFP Lithium-ion,2,890000,6,5340000,580000,6,54000,60,3480000,3240000,12060000
1kW,1,Off Grid,2,Canadian Solar Canada,3,SMA Germany ,2,LFP Lithium-ion,2,80000,1,80000,84000,1,54000,1,84000,54000,218000
2kW,2,Off Grid,2,Canadian Solar Canada,3,SMA Germany ,2,LFP Lithium-ion,2,170000,1,170000,120000,1,54000,2,120000,108000,398000
3.5kW,3,Off Grid,2,Canadian Solar Canada,3,SMA Germany ,2,LFP Lithium-ion,2,250000,1,250000,240000,1,54000,4,240000,216000,706000
4kW,4,Off Grid,2,Canadian Solar Canada,3,SMA Germany ,2,LFP Lithium-ion,2,410000,1,410000,320000,1,54000,4,320000,216000,946000
5kW,5,Off Grid,2,Canadian Solar Canada,3,SMA Germany ,2,LFP Lithium-ion,2,410000,1,410000,440000,1,54000,5,440000,270000,1120000
7.5kW,6,Off Grid,2,Canadian Solar Canada,3,SMA Germany ,2,LFP Lithium-ion,2,890000,1,890000,520000,1,54000,7,520000,378000,1788000
8kW,7,Off Grid,2,Canadian Solar Canada,3,SMA Germany ,2,LFP Lithium-ion,2,890000,1,890000,610000,1,54000,8,610000,432000,1932000
10kW,8,Off Grid,2,Canadian Solar Canada,3,SMA Germany ,2,LFP Lithium-ion,2,890000,1,890000,710000,1,54000,10,710000,540000,2140000
15kW,9,Off Grid,2,Canadian Solar Canada,3,SMA Germany ,2,LFP Lithium-ion,2,890000,2,1780000,520000,2,54000,15,1040000,810000,3630000
20kW,10,Off Grid,2,Canadian Solar Canada,3,SMA Germany ,2,LFP Lithium-ion,2,890000,2,1780000,710000,2,54000,20,1420000,1080000,4280000
30kW,11,Off Grid,2,Canadian Solar Canada,3,SMA Germany ,2,LFP Lithium-ion,2,890000,3,2670000,710000,3,54000,30,2130000,1620000,6420000
40kW,12,Off Grid,2,Canadian Solar Canada,3,SMA Germany ,2,LFP Lithium-ion,2,890000,4,3560000,710000,4,54000,40,2840000,2160000,8560000
50kW,13,Off Grid,2,Canadian Solar Canada,3,SMA Germany ,2,LFP Lithium-ion,2,890000,5,4450000,710000,5,54000,50,3550000,2700000,10700000
60kW,14,Off Grid,2,Canadian Solar Canada,3,SMA Germany ,2,LFP Lithium-ion,2,890000,6,5340000,710000,6,54000,60,4260000,3240000,12840000
1kW,1,Off Grid,2,Canadian Solar Canada,3,CanadainSolar Canada,3,LFP Lithium-ion,2,80000,1,80000,88000,1,54000,1,88000,54000,222000
2kW,2,Off Grid,2,Canadian Solar Canada,3,CanadainSolar Canada,3,LFP Lithium-ion,2,170000,1,170000,120000,1,54000,2,120000,108000,398000
3.5kW,3,Off Grid,2,Canadian Solar Canada,3,CanadainSolar Canada,3,LFP Lithium-ion,2,250000,1,250000,210000,1,54000,4,210000,216000,676000
4kW,4,Off Grid,2,Canadian Solar Canada,3,CanadainSolar Canada,3,LFP Lithium-ion,2,410000,1,410000,290000,1,54000,4,290000,216000,916000
5kW,5,Off Grid,2,Canadian Solar Canada,3,CanadainSolar Canada,3,LFP Lithium-ion,2,410000,1,410000,390000,1,54000,5,390000,270000,1070000
7.5kW,6,Off Grid,2,Canadian Solar Canada,3,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,1,890000,500000,1,54000,7,500000,378000,1768000
8kW,7,Off Grid,2,Canadian Solar Canada,3,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,1,890000,610000,1,54000,8,610000,432000,1932000
10kW,8,Off Grid,2,Canadian Solar Canada,3,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,1,890000,710000,1,54000,10,710000,540000,2140000
15kW,9,Off Grid,2,Canadian Solar Canada,3,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,2,1780000,500000,2,54000,15,1000000,810000,3590000
20kW,10,Off Grid,2,Canadian Solar Canada,3,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,2,1780000,710000,2,54000,20,1420000,1080000,4280000
30kW,11,Off Grid,2,Canadian Solar Canada,3,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,3,2670000,710000,3,54000,30,2130000,1620000,6420000
40kW,12,Off Grid,2,Canadian Solar Canada,3,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,4,3560000,710000,4,54000,40,2840000,2160000,8560000
50kW,13,Off Grid,2,Canadian Solar Canada,3,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,5,4450000,710000,5,54000,50,3550000,2700000,10700000
60kW,14,Off Grid,2,Canadian Solar Canada,3,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,6,5340000,710000,6,54000,60,4260000,3240000,12840000
1kW,1,Off Grid,2,Canadian Solar Canada,3,Growatt China,4,LFP Lithium-ion,2,80000,1,80000,66000,1,54000,1,66000,54000,200000
2kW,2,Off Grid,2,Canadian Solar Canada,3,Growatt China,4,LFP Lithium-ion,2,170000,1,170000,95000,1,54000,2,95000,108000,373000
3.5kW,3,Off Grid,2,Canadian Solar Canada,3,Growatt China,4,LFP Lithium-ion,2,250000,1,250000,198000,1,54000,4,198000,216000,664000
4kW,4,Off Grid,2,Canadian Solar Canada,3,Growatt China,4,LFP Lithium-ion,2,410000,1,410000,310000,1,54000,4,310000,216000,936000
5kW,5,Off Grid,2,Canadian Solar Canada,3,Growatt China,4,LFP Lithium-ion,2,410000,1,410000,390000,1,54000,5,390000,270000,1070000
7.5kW,6,Off Grid,2,Canadian Solar Canada,3,Growatt China,4,LFP Lithium-ion,2,890000,1,890000,490000,1,54000,7,490000,378000,1758000
8kW,7,Off Grid,2,Canadian Solar Canada,3,Growatt China,4,LFP Lithium-ion,2,890000,1,890000,520000,1,54000,8,520000,432000,1842000
10kW,8,Off Grid,2,Canadian Solar Canada,3,Growatt China,4,LFP Lithium-ion,2,890000,1,890000,580000,1,54000,10,580000,540000,2010000
15kW,9,Off Grid,2,Canadian Solar Canada,3,Growatt China,4,LFP Lithium-ion,2,890000,2,1780000,490000,2,54000,15,980000,810000,3570000
20kW,10,Off Grid,2,Canadian Solar Canada,3,Growatt China,4,LFP Lithium-ion,2,890000,2,1780000,580000,2,54000,20,1160000,1080000,4020000
30kW,11,Off Grid,2,Canadian Solar Canada,3,Growatt China,4,LFP Lithium-ion,2,890000,3,2670000,580000,3,54000,30,1740000,1620000,6030000
40kW,12,Off Grid,2,Canadian Solar Canada,3,Growatt China,4,LFP Lithium-ion,2,890000,4,3560000,580000,4,54000,40,2320000,2160000,8040000
50kW,13,Off Grid,2,Canadian Solar Canada,3,Growatt China,4,LFP Lithium-ion,2,890000,5,4450000,580000,5,54000,50,2900000,2700000,10050000
60kW,14,Off Grid,2,Canadian Solar Canada,3,Growatt China,4,LFP Lithium-ion,2,890000,6,5340000,580000,6,54000,60,3480000,3240000,12060000
1kW,1,Off Grid,2,Panasonic Japan,4,Goodwee China,1,LFP Lithium-ion,2,80000,1,80000,64000,1,62000,1,64000,62000,206000
2kW,2,Off Grid,2,Panasonic Japan,4,Goodwee China,1,LFP Lithium-ion,2,170000,1,170000,100000,1,62000,2,100000,124000,394000
3.5kW,3,Off Grid,2,Panasonic Japan,4,Goodwee China,1,LFP Lithium-ion,2,250000,1,250000,190000,1,62000,4,190000,248000,688000
4kW,4,Off Grid,2,Panasonic Japan,4,Goodwee China,1,LFP Lithium-ion,2,410000,1,410000,280000,1,62000,4,280000,248000,938000
5kW,5,Off Grid,2,Panasonic Japan,4,Goodwee China,1,LFP Lithium-ion,2,410000,1,410000,380000,1,62000,5,380000,310000,1100000
7.5kW,6,Off Grid,2,Panasonic Japan,4,Goodwee China,1,LFP Lithium-ion,2,890000,1,890000,490000,1,62000,7,490000,434000,1814000
8kW,7,Off Grid,2,Panasonic Japan,4,Goodwee China,1,LFP Lithium-ion,2,890000,1,890000,500000,1,62000,8,500000,496000,1886000
10kW,8,Off Grid,2,Panasonic Japan,4,Goodwee China,1,LFP Lithium-ion,2,890000,1,890000,580000,1,62000,10,580000,620000,2090000
15kW,9,Off Grid,2,Panasonic Japan,4,Goodwee China,1,LFP Lithium-ion,2,890000,2,1780000,580000,2,62000,15,1160000,930000,3870000
20kW,10,Off Grid,2,Panasonic Japan,4,Goodwee China,1,LFP Lithium-ion,2,890000,2,1780000,580000,2,62000,20,1160000,1240000,4180000
30kW,11,Off Grid,2,Panasonic Japan,4,Goodwee China,1,LFP Lithium-ion,2,890000,3,2670000,580000,3,62000,30,1740000,1860000,6270000
40kW,12,Off Grid,2,Panasonic Japan,4,Goodwee China,1,LFP Lithium-ion,2,890000,4,3560000,580000,4,62000,40,2320000,2480000,8360000
50kW,13,Off Grid,2,Panasonic Japan,4,Goodwee China,1,LFP Lithium-ion,2,890000,5,4450000,580000,5,62000,50,2900000,3100000,10450000
60kW,14,Off Grid,2,Panasonic Japan,4,Goodwee China,1,LFP Lithium-ion,2,890000,6,5340000,580000,6,62000,60,3480000,3720000,12540000
1kW,1,Off Grid,2,Panasonic Japan,4,SMA Germany ,2,LFP Lithium-ion,2,80000,1,80000,84000,1,62000,1,84000,62000,226000
2kW,2,Off Grid,2,Panasonic Japan,4,SMA Germany ,2,LFP Lithium-ion,2,170000,1,170000,120000,1,62000,2,120000,124000,414000
3.5kW,3,Off Grid,2,Panasonic Japan,4,SMA Germany ,2,LFP Lithium-ion,2,250000,1,250000,240000,1,62000,4,240000,248000,738000
4kW,4,Off Grid,2,Panasonic Japan,4,SMA Germany ,2,LFP Lithium-ion,2,410000,1,410000,320000,1,62000,4,320000,248000,978000
5kW,5,Off Grid,2,Panasonic Japan,4,SMA Germany ,2,LFP Lithium-ion,2,410000,1,410000,440000,1,62000,5,440000,310000,1160000
7.5kW,6,Off Grid,2,Panasonic Japan,4,SMA Germany ,2,LFP Lithium-ion,2,890000,1,890000,520000,1,62000,7,520000,434000,1844000
8kW,7,Off Grid,2,Panasonic Japan,4,SMA Germany ,2,LFP Lithium-ion,2,890000,1,890000,610000,1,62000,8,610000,496000,1996000
10kW,8,Off Grid,2,Panasonic Japan,4,SMA Germany ,2,LFP Lithium-ion,2,890000,1,890000,710000,1,62000,10,710000,620000,2220000
15kW,9,Off Grid,2,Panasonic Japan,4,SMA Germany ,2,LFP Lithium-ion,2,890000,2,1780000,520000,2,62000,15,1040000,930000,3750000
20kW,10,Off Grid,2,Panasonic Japan,4,SMA Germany ,2,LFP Lithium-ion,2,890000,2,1780000,710000,2,62000,20,1420000,1240000,4440000
30kW,11,Off Grid,2,Panasonic Japan,4,SMA Germany ,2,LFP Lithium-ion,2,890000,3,2670000,710000,3,62000,30,2130000,1860000,6660000
40kW,12,Off Grid,2,Panasonic Japan,4,SMA Germany ,2,LFP Lithium-ion,2,890000,4,3560000,710000,4,62000,40,2840000,2480000,8880000
50kW,13,Off Grid,2,Panasonic Japan,4,SMA Germany ,2,LFP Lithium-ion,2,890000,5,4450000,710000,5,62000,50,3550000,3100000,11100000
60kW,14,Off Grid,2,Panasonic Japan,4,SMA Germany ,2,LFP Lithium-ion,2,890000,6,5340000,710000,6,62000,60,4260000,3720000,13320000
1kW,1,Off Grid,2,Panasonic Japan,4,CanadainSolar Canada,3,LFP Lithium-ion,2,80000,1,80000,88000,1,62000,1,88000,62000,230000
2kW,2,Off Grid,2,Panasonic Japan,4,CanadainSolar Canada,3,LFP Lithium-ion,2,170000,1,170000,120000,1,62000,2,120000,124000,414000
3.5kW,3,Off Grid,2,Panasonic Japan,4,CanadainSolar Canada,3,LFP Lithium-ion,2,250000,1,250000,210000,1,62000,4,210000,248000,708000
4kW,4,Off Grid,2,Panasonic Japan,4,CanadainSolar Canada,3,LFP Lithium-ion,2,410000,1,410000,290000,1,62000,4,290000,248000,948000
5kW,5,Off Grid,2,Panasonic Japan,4,CanadainSolar Canada,3,LFP Lithium-ion,2,410000,1,410000,390000,1,62000,5,390000,310000,1110000
7.5kW,6,Off Grid,2,Panasonic Japan,4,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,1,890000,500000,1,62000,7,500000,434000,1824000
8kW,7,Off Grid,2,Panasonic Japan,4,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,1,890000,610000,1,62000,8,610000,496000,1996000
10kW,8,Off Grid,2,Panasonic Japan,4,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,1,890000,710000,1,62000,10,710000,620000,2220000
15kW,9,Off Grid,2,Panasonic Japan,4,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,2,1780000,500000,2,62000,15,1000000,930000,3710000
20kW,10,Off Grid,2,Panasonic Japan,4,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,2,1780000,710000,2,62000,20,1420000,1240000,4440000
30kW,11,Off Grid,2,Panasonic Japan,4,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,3,2670000,710000,3,62000,30,2130000,1860000,6660000
40kW,12,Off Grid,2,Panasonic Japan,4,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,4,3560000,710000,4,62000,40,2840000,2480000,8880000
50kW,13,Off Grid,2,Panasonic Japan,4,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,5,4450000,710000,5,62000,50,3550000,3100000,11100000
60kW,14,Off Grid,2,Panasonic Japan,4,CanadainSolar Canada,3,LFP Lithium-ion,2,890000,6,5340000,710000,6,62000,60,4260000,3720000,13320000
1kW,1,Off Grid,2,Panasonic Japan,4,Growatt China,4,LFP Lithium-ion,2,80000,1,80000,66000,1,62000,1,66000,62000,208000
2kW,2,Off Grid,2,Panasonic Japan,4,Growatt China,4,LFP Lithium-ion,2,170000,1,170000,95000,1,62000,2,95000,124000,389000
3.5kW,3,Off Grid,2,Panasonic Japan,4,Growatt China,4,LFP Lithium-ion,2,250000,1,250000,198000,1,62000,4,198000,248000,696000
4kW,4,Off Grid,2,Panasonic Japan,4,Growatt China,4,LFP Lithium-ion,2,410000,1,410000,310000,1,62000,4,310000,248000,968000
5kW,5,Off Grid,2,Panasonic Japan,4,Growatt China,4,LFP Lithium-ion,2,410000,1,410000,390000,1,62000,5,390000,310000,1110000
7.5kW,6,Off Grid,2,Panasonic Japan,4,Growatt China,4,LFP Lithium-ion,2,890000,1,890000,490000,1,62000,7,490000,434000,1814000
8kW,7,Off Grid,2,Panasonic Japan,4,Growatt China,4,LFP Lithium-ion,2,890000,1,890000,520000,1,62000,8,520000,496000,1906000
10kW,8,Off Grid,2,Panasonic Japan,4,Growatt China,4,LFP Lithium-ion,2,890000,1,890000,580000,1,62000,10,580000,620000,2090000
15kW,9,Off Grid,2,Panasonic Japan,4,Growatt China,4,LFP Lithium-ion,2,890000,2,1780000,490000,2,62000,15,980000,930000,3690000
20kW,10,Off Grid,2,Panasonic Japan,4,Growatt China,4,LFP Lithium-ion,2,890000,2,1780000,580000,2,62000,20,1160000,1240000,4180000
30kW,11,Off Grid,2,Panasonic Japan,4,Growatt China,4,LFP Lithium-ion,2,890000,3,2670000,580000,3,62000,30,1740000,1860000,6270000
40kW,12,Off Grid,2,Panasonic Japan,4,Growatt China,4,LFP Lithium-ion,2,890000,4,3560000,580000,4,62000,40,2320000,2480000,8360000
50kW,13,Off Grid,2,Panasonic Japan,4,Growatt China,4,LFP Lithium-ion,2,890000,5,4450000,580000,5,62000,50,2900000,3100000,10450000
60kW,14,Off Grid,2,Panasonic Japan,4,Growatt China,4,LFP Lithium-ion,2,890000,6,5340000,580000,6,62000,60,3480000,3720000,12540000
1kW,1,Off Grid,2,JA Solar China,1,Goodwee China,1,Lead Acid,3,65000,1,65000,64000,1,42000,1,64000,42000,171000
2kW,2,Off Grid,2,JA Solar China,1,Goodwee China,1,Lead Acid,3,120000,1,120000,100000,1,42000,2,100000,84000,304000
3.5kW,3,Off Grid,2,JA Solar China,1,Goodwee China,1,Lead Acid,3,120000,2,240000,190000,1,42000,4,190000,168000,598000
4kW,4,Off Grid,2,JA Solar China,1,Goodwee China,1,Lead Acid,3,120000,2,240000,280000,1,42000,4,280000,168000,688000
5kW,5,Off Grid,2,JA Solar China,1,Goodwee China,1,Lead Acid,3,120000,3,360000,380000,1,42000,5,380000,210000,950000
7.5kW,6,Off Grid,2,JA Solar China,1,Goodwee China,1,Lead Acid,3,120000,4,480000,490000,1,42000,7,490000,294000,1264000
8kW,7,Off Grid,2,JA Solar China,1,Goodwee China,1,Lead Acid,3,120000,4,480000,500000,1,42000,8,500000,336000,1316000
10kW,8,Off Grid,2,JA Solar China,1,Goodwee China,1,Lead Acid,3,120000,5,600000,580000,1,42000,10,580000,420000,1600000
1kW,1,Off Grid,2,JA Solar China,1,SMA Germany ,2,Lead Acid,3,65000,1,65000,84000,1,42000,1,84000,42000,191000
2kW,2,Off Grid,2,JA Solar China,1,SMA Germany ,2,Lead Acid,3,120000,1,120000,120000,1,42000,2,120000,84000,324000
3.5kW,3,Off Grid,2,JA Solar China,1,SMA Germany ,2,Lead Acid,3,120000,2,240000,240000,1,42000,4,240000,168000,648000
4kW,4,Off Grid,2,JA Solar China,1,SMA Germany ,2,Lead Acid,3,120000,2,240000,320000,1,42000,4,320000,168000,728000
5kW,5,Off Grid,2,JA Solar China,1,SMA Germany ,2,Lead Acid,3,120000,3,360000,440000,1,42000,5,440000,210000,1010000
7.5kW,6,Off Grid,2,JA Solar China,1,SMA Germany ,2,Lead Acid,3,120000,4,480000,520000,1,42000,7,520000,294000,1294000
8kW,7,Off Grid,2,JA Solar China,1,SMA Germany ,2,Lead Acid,3,120000,4,480000,610000,1,42000,8,610000,336000,1426000
10kW,8,Off Grid,2,JA Solar China,1,SMA Germany ,2,Lead Acid,3,120000,5,600000,710000,1,42000,10,710000,420000,1730000
1kW,1,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,Lead Acid,3,65000,1,65000,88000,1,42000,1,88000,42000,195000
2kW,2,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,Lead Acid,3,120000,1,120000,120000,1,42000,2,120000,84000,324000
3.5kW,3,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,Lead Acid,3,120000,2,240000,210000,1,42000,4,210000,168000,618000
4kW,4,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,Lead Acid,3,120000,2,240000,290000,1,42000,4,290000,168000,698000
5kW,5,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,Lead Acid,3,120000,3,360000,390000,1,42000,5,390000,210000,960000
7.5kW,6,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,Lead Acid,3,120000,4,480000,500000,1,42000,7,500000,294000,1274000
8kW,7,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,Lead Acid,3,120000,4,480000,610000,1,42000,8,610000,336000,1426000
10kW,8,Off Grid,2,JA Solar China,1,CanadainSolar Canada,3,Lead Acid,3,120000,5,600000,710000,1,42000,10,710000,420000,1730000
1kW,1,Off Grid,2,JA Solar China,1,Growatt China,4,Lead Acid,3,65000,1,65000,66000,1,42000,1,66000,42000,173000
2kW,2,Off Grid,2,JA Solar China,1,Growatt China,4,Lead Acid,3,120000,1,120000,95000,1,42000,2,95000,84000,299000
3.5kW,3,Off Grid,2,JA Solar China,1,Growatt China,4,Lead Acid,3,120000,2,240000,198000,1,42000,4,198000,168000,606000
4kW,4,Off Grid,2,JA Solar China,1,Growatt China,4,Lead Acid,3,120000,2,240000,310000,1,42000,4,310000,168000,718000
5kW,5,Off Grid,2,JA Solar China,1,Growatt China,4,Lead Acid,3,120000,3,360000,390000,1,42000,5,390000,210000,960000
7.5kW,6,Off Grid,2,JA Solar China,1,Growatt China,4,Lead Acid,3,120000,4,480000,490000,1,42000,7,490000,294000,1264000
8kW,7,Off Grid,2,JA Solar China,1,Growatt China,4,Lead Acid,3,120000,4,480000,520000,1,42000,8,520000,336000,1336000
10kW,8,Off Grid,2,JA Solar China,1,Growatt China,4,Lead Acid,3,120000,5,600000,580000,1,42000,10,580000,420000,1600000
1kW,1,Off Grid,2,Jinko Solar China,2,Goodwee China,1,Lead Acid,3,65000,1,65000,64000,1,46000,1,64000,46000,175000
2kW,2,Off Grid,2,Jinko Solar China,2,Goodwee China,1,Lead Acid,3,120000,1,120000,100000,1,46000,2,100000,92000,312000
3.5kW,3,Off Grid,2,Jinko Solar China,2,Goodwee China,1,Lead Acid,3,120000,2,240000,190000,1,46000,4,190000,184000,614000
4kW,4,Off Grid,2,Jinko Solar China,2,Goodwee China,1,Lead Acid,3,120000,2,240000,280000,1,46000,4,280000,184000,704000
5kW,5,Off Grid,2,Jinko Solar China,2,Goodwee China,1,Lead Acid,3,120000,3,360000,380000,1,46000,5,380000,230000,970000
7.5kW,6,Off Grid,2,Jinko Solar China,2,Goodwee China,1,Lead Acid,3,120000,4,480000,490000,1,46000,7,490000,322000,1292000
8kW,7,Off Grid,2,Jinko Solar China,2,Goodwee China,1,Lead Acid,3,120000,4,480000,500000,1,46000,8,500000,368000,1348000
10kW,8,Off Grid,2,Jinko Solar China,2,Goodwee China,1,Lead Acid,3,120000,5,600000,580000,1,46000,10,580000,460000,1640000
1kW,1,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,Lead Acid,3,65000,1,65000,84000,1,46000,1,84000,46000,195000
2kW,2,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,Lead Acid,3,120000,1,120000,120000,1,46000,2,120000,92000,332000
3.5kW,3,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,Lead Acid,3,120000,2,240000,240000,1,46000,4,240000,184000,664000
4kW,4,Off Grid,2,Jinko Solar China,2,SMA Germany ,2,Lead Acid,3,120000,2,240000,320000,1,46000,4,320000,184000,744000
